"Mass (avg)","RSD (Mass, ppm)","Saturated","RT (avg)","RT (span)","Height (avg)","Found","Missed","Score (MFE, max)","%RSD (MFE)","Score (Tgt, max)","%RSD (Tgt)","Ions (min)","Ions (max)",[Mass] 6284cit_250_20,[Mass] 6284cit_500_20,[Mass] 6284Gao500_19,[Mass] 6284Gaoo50_19,[Mass] 6284Gaooo10_19,[Mass] 6284gat_250_20,[Mass] 6284K_19,[Mass] 6284K_20,[Mass] 6284Z_19,[Mass] Ga_1_21,[Mass] Ga_2_21,[Mass] Ga_3_21,[Mass] Ga_4_21,[Mass] Ga_6_21,[Mass] Ga_QC,[Mass] Ga_QC_25,[Mass] Ga_QC_50,[Mass] MeOH_cont_1,[Mass] MeOH_cont_2,[Mass] MeOH_wash1 after Ga,[Mass] MeOH_wash2 after Ga,[Mass] MeOH_wash3 after Ga,[RT] 6284cit_250_20,[RT] 6284cit_500_20,[RT] 6284Gao500_19,[RT] 6284Gaoo50_19,[RT] 6284Gaooo10_19,[RT] 6284gat_250_20,[RT] 6284K_19,[RT] 6284K_20,[RT] 6284Z_19,[RT] Ga_1_21,[RT] Ga_2_21,[RT] Ga_3_21,[RT] Ga_4_21,[RT] Ga_6_21,[RT] Ga_QC,[RT] Ga_QC_25,[RT] Ga_QC_50,[RT] MeOH_cont_1,[RT] MeOH_cont_2,[RT] MeOH_wash1 after Ga,[RT] MeOH_wash2 after Ga,[RT] MeOH_wash3 after Ga,[Area] 6284cit_250_20,[Area] 6284cit_500_20,[Area] 6284Gao500_19,[Area] 6284Gaoo50_19,[Area] 6284Gaooo10_19,[Area] 6284gat_250_20,[Area] 6284K_19,[Area] 6284K_20,[Area] 6284Z_19,[Area] Ga_1_21,[Area] Ga_2_21,[Area] Ga_3_21,[Area] Ga_4_21,[Area] Ga_6_21,[Area] Ga_QC,[Area] Ga_QC_25,[Area] Ga_QC_50,[Area] MeOH_cont_1,[Area] MeOH_cont_2,[Area] MeOH_wash1 after Ga,[Area] MeOH_wash2 after Ga,[Area] MeOH_wash3 after Ga,[Score (MFE)] 6284cit_250_20,[Score (MFE)] 6284cit_500_20,[Score (MFE)] 6284Gao500_19,[Score (MFE)] 6284Gaoo50_19,[Score (MFE)] 6284Gaooo10_19,[Score (MFE)] 6284gat_250_20,[Score (MFE)] 6284K_19,[Score (MFE)] 6284K_20,[Score (MFE)] 6284Z_19,[Score (MFE)] Ga_1_21,[Score (MFE)] Ga_2_21,[Score (MFE)] Ga_3_21,[Score (MFE)] Ga_4_21,[Score (MFE)] Ga_6_21,[Score (MFE)] Ga_QC,[Score (MFE)] Ga_QC_25,[Score (MFE)] Ga_QC_50,[Score (MFE)] MeOH_cont_1,[Score (MFE)] MeOH_cont_2,[Score (MFE)] MeOH_wash1 after Ga,[Score (MFE)] MeOH_wash2 after Ga,[Score (MFE)] MeOH_wash3 after Ga,[Score (Tgt)] 6284cit_250_20,[Score (Tgt)] 6284cit_500_20,[Score (Tgt)] 6284Gao500_19,[Score (Tgt)] 6284Gaoo50_19,[Score (Tgt)] 6284Gaooo10_19,[Score (Tgt)] 6284gat_250_20,[Score (Tgt)] 6284K_19,[Score (Tgt)] 6284K_20,[Score (Tgt)] 6284Z_19,[Score (Tgt)] Ga_1_21,[Score (Tgt)] Ga_2_21,[Score (Tgt)] Ga_3_21,[Score (Tgt)] Ga_4_21,[Score (Tgt)] Ga_6_21,[Score (Tgt)] Ga_QC,[Score (Tgt)] Ga_QC_25,[Score (Tgt)] Ga_QC_50,[Score (Tgt)] MeOH_cont_1,[Score (Tgt)] MeOH_cont_2,[Score (Tgt)] MeOH_wash1 after Ga,[Score (Tgt)] MeOH_wash2 after Ga,[Score (Tgt)] MeOH_wash3 after Ga,[Ions] 6284cit_250_20,[Ions] 6284cit_500_20,[Ions] 6284Gao500_19,[Ions] 6284Gaoo50_19,[Ions] 6284Gaooo10_19,[Ions] 6284gat_250_20,[Ions] 6284K_19,[Ions] 6284K_20,[Ions] 6284Z_19,[Ions] Ga_1_21,[Ions] Ga_2_21,[Ions] Ga_3_21,[Ions] Ga_4_21,[Ions] Ga_6_21,[Ions] Ga_QC,[Ions] Ga_QC_25,[Ions] Ga_QC_50,[Ions] MeOH_cont_1,[Ions] MeOH_cont_2,[Ions] MeOH_wash1 after Ga,[Ions] MeOH_wash2 after Ga,[Ions] MeOH_wash3 after Ga,
414.2033,1.56,0,5.42,0.029,963347,22,0,100.0,0.0,99.9,13.5,7,21,414.2028,414.2031,414.2031,414.2033,414.2029,414.2026,414.2031,414.2032,414.2028,414.2027,414.2038,414.2022,414.2032,414.2030,414.2035,414.2040,414.2038,414.2044,414.2038,414.2023,414.2031,414.2049,5.419,5.413,5.417,5.415,5.413,5.416,5.420,5.412,5.416,5.414,5.417,5.412,5.415,5.417,5.417,5.408,5.411,5.414,5.421,5.436,5.437,5.423,9209159,8435798,2631296,2690142,3113864,8281339,6053687,20017191,4686409,3822072,9148187,2920634,3967822,4347573,12184812,5203765,8204805,39112,7113,6062,5553,5958,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,99.84,99.82,99.76,99.71,99.60,99.56,99.85,99.85,99.95,99.71,99.39,98.92,99.92,99.55,99.55,99.24,99.50,90.01,66.57,71.27,74.32,59.97,19,21,20,20,20,21,21,21,20,21,20,20,21,20,19,20,20,11,9,7,8,8,
303.2905,2.90,0,5.23,0.279,617431,22,0,100.0,0.0,95.0,11.4,2,4,303.2906,303.2900,303.2905,303.2902,303.2907,303.2895,303.2909,303.2899,303.2899,303.2899,303.2921,303.2897,303.2905,303.2904,303.2916,303.2905,303.2888,303.2909,303.2909,303.2893,303.2921,303.2920,5.239,5.234,5.229,5.232,5.242,5.228,5.232,5.228,5.228,5.268,5.505,5.237,5.233,5.234,5.229,5.229,5.227,5.226,5.242,5.260,5.266,5.244,195796,234391,4793178,5720465,3635187,630071,3935193,458660,6000488,602741,16887,508169,8216126,1768771,3449117,1331168,1824508,21845,12624,7753,6692,7660,,,100.0,100.0,,,100.0,,100.0,,,,100.0,,100.0,,,,,,,,88.32,82.42,89.12,86.33,90.62,77.66,91.73,81.62,83.09,81.16,88.45,80.10,89.03,86.74,95.04,87.74,69.59,64.05,72.87,66.22,84.28,62.35,3,3,3,4,4,4,4,3,4,3,3,3,4,3,3,4,4,2,2,2,2,2,
431.2300,1.31,0,5.41,0.044,566390,22,0,100.0,25.0,100.0,17.3,3,7,431.2297,431.2301,431.2301,431.2302,431.2299,431.2296,431.2301,431.2302,431.2298,431.2296,431.2308,431.2292,431.2303,431.2299,431.2306,431.2305,431.2305,431.2309,431.2296,431.2288,431.2292,431.2310,5.419,5.413,5.417,5.411,5.413,5.416,5.412,5.416,5.416,5.414,5.417,5.412,5.415,5.413,5.412,5.408,5.411,5.427,5.425,5.402,5.446,5.440,6175468,4759953,1664793,1667661,1922097,4915666,3748071,10694797,2973913,1844074,4772411,1110565,2553651,1493617,7433195,3344822,4736759,20465,12117,864,4326,4451,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,0.0,,,99.95,99.39,99.36,99.26,99.72,99.94,99.40,99.10,99.92,99.87,96.79,99.34,98.96,99.77,97.59,98.21,98.10,62.53,72.09,61.38,52.77,66.88,4,6,6,6,5,6,6,6,6,5,7,5,5,5,7,7,6,4,3,4,3,4,
131.0946,2.08,0,1.02,0.298,965677,20,2,100.0,0.0,98.8,15.5,3,8,131.0945,131.0950,131.0946,131.0950,131.0948,131.0946,131.0946,131.0945,131.0948,131.0942,131.0945,131.0947,131.0947,131.0946,131.0949,131.0945,131.0946,,,131.0939,131.0951,131.0944,1.016,1.027,1.022,1.034,1.027,1.026,1.026,1.026,1.021,1.024,1.023,1.022,1.016,1.019,1.031,1.018,1.025,,,1.037,0.839,1.137,7597497,4634745,6618374,5913145,8088260,9537585,9144250,6700074,8466486,4136855,3174522,6043199,8281071,7584671,5776601,3711370,4554556,,,759,1080,1006,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,87.00,88.09,87.58,88.04,87.93,87.43,96.14,87.18,87.89,85.80,87.34,87.77,87.76,98.80,94.83,87.45,87.47,,,37.20,77.03,64.45,7,5,7,7,7,7,8,7,7,6,6,7,7,7,8,5,5,,,4,4,3,
273.2666,1.78,0,4.77,0.015,893936,22,0,100.0,4.9,100.0,6.8,2,5,273.2661,273.2672,273.2664,273.2665,273.2665,273.2664,273.2663,273.2665,273.2665,273.2663,273.2664,273.2658,273.2679,273.2662,273.2672,273.2677,273.2664,273.2668,273.2667,273.2667,273.2668,273.2668,4.772,4.772,4.774,4.773,4.770,4.770,4.769,4.769,4.773,4.772,4.770,4.769,4.772,4.766,4.770,4.770,4.768,4.767,4.778,4.780,4.766,4.772,5780289,5085495,400755,281649,436139,7009586,270915,6169451,424567,5390644,7236479,3870402,6395328,6683212,4994252,1090798,2123698,42685,40525,27406,21794,20049,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,99.65,97.03,99.87,99.55,99.79,99.88,99.55,99.85,99.87,99.96,99.90,98.92,91.91,99.86,97.36,93.39,99.98,85.49,96.61,83.66,84.35,79.12,4,4,4,3,3,5,4,4,5,5,5,4,4,5,5,5,5,2,3,2,2,2,
331.3234,2.61,0,5.59,0.056,227082,22,0,100.0,8.1,99.7,11.9,2,5,331.3225,331.3221,331.3239,331.3226,331.3249,331.3219,331.3236,331.3221,331.3241,331.3226,331.3230,331.3233,331.3236,331.3228,331.3234,331.3233,331.3246,331.3238,331.3236,331.3242,331.3248,331.3232,5.578,5.589,5.588,5.587,5.588,5.591,5.587,5.595,5.587,5.585,5.593,5.596,5.582,5.588,5.584,5.588,5.582,5.598,5.588,5.586,5.634,5.590,107815,54545,1056727,868843,1211493,53063,585882,119838,1750053,1007581,459835,252872,5461077,858411,1394156,423356,612061,18647,14030,7987,3966,7111,,,100.0,100.0,100.0,,100.0,,80.0,100.0,100.0,,100.0,100.0,100.0,100.0,80.0,,,,,,97.93,96.49,97.80,99.25,90.37,95.11,98.78,96.60,96.10,99.26,99.71,99.67,98.80,99.39,99.25,99.41,91.94,72.28,69.74,75.07,72.71,72.90,3,3,5,3,4,3,4,3,5,4,4,3,4,4,4,4,4,2,2,2,2,2,
170.1420,1.42,0,3.91,0.112,505791,22,0,100.0,0.0,100.0,2.6,5,13,170.1418,170.1425,170.1416,170.1415,170.1421,170.1421,170.1419,170.1421,170.1421,170.1421,170.1420,170.1418,170.1418,170.1417,170.1421,170.1425,170.1420,170.1420,170.1420,170.1419,170.1419,170.1420,3.912,3.911,3.914,3.913,3.910,3.909,3.914,3.914,3.909,3.916,3.915,4.018,3.913,3.911,3.915,3.916,3.912,3.908,3.906,3.912,3.914,3.912,2279056,2368655,1056870,1201042,1448370,2642787,1338329,2489159,1297188,866958,2624662,63907,2219114,2404188,1823443,6017819,2271488,291302,370197,196980,187399,196667,100.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,,99.9,,100.0,100.0,100.0,100.0,100.0,,,,,,99.93,98.49,99.09,99.14,99.79,99.76,99.88,99.77,99.69,99.90,99.96,87.56,99.94,99.73,99.79,98.16,99.91,99.02,99.19,99.08,99.64,99.94,13,13,12,13,13,13,13,13,11,12,13,5,13,13,13,13,12,7,7,7,7,7,
317.2924,6.70,0,4.79,0.169,589213,22,0,100.0,5.4,99.8,22.8,1,9,317.2928,317.2936,317.2916,317.2929,317.2929,317.2927,317.2926,317.2933,317.2928,317.2929,317.2929,317.2923,317.2927,317.2926,317.2934,317.2942,317.2927,317.2929,317.2848,317.2881,317.2955,317.2921,4.794,4.792,4.740,4.790,4.787,4.786,4.794,4.793,4.794,4.788,4.791,4.790,4.789,4.791,4.791,4.791,4.789,4.780,4.732,4.722,4.891,4.751,4710304,4216905,6927,99504,145084,5267430,118127,4956648,137382,4391307,4310386,2877860,3806041,4413909,3246414,677341,1443614,6068,3436,8214,193,2812,100.0,100.0,,,,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,,,,,,98.64,95.17,75.82,97.11,97.85,99.27,98.86,96.73,99.30,98.75,98.57,99.84,99.33,99.44,96.19,89.86,99.55,78.44,50.55,34.81,64.84,47.37,7,7,4,3,4,7,5,7,4,8,7,9,8,8,7,7,8,3,5,3,3,1,
271.2142,3.90,0,6.02,0.228,25462,22,0,100.0,20.7,99.8,24.0,3,9,271.2131,271.2134,271.2131,271.2115,271.2148,271.2137,271.2133,271.2130,271.2153,271.2134,271.2148,271.2161,271.2149,271.2155,271.2138,271.2153,271.2146,271.2144,271.2150,271.2142,271.2140,271.2145,5.920,5.914,5.913,5.916,6.026,5.912,5.950,5.929,5.946,6.094,6.027,6.042,6.032,6.031,6.034,6.030,6.028,6.019,5.972,5.945,6.126,6.141,37442,40261,40739,36521,37170,40114,38660,38832,30529,300138,56559,24830,210882,68007,236957,41680,95332,42771,6311,32563,32655,30999,,,,,,,,,,,71.7,,100.0,99.9,100.0,59.1,100.0,,,,,,68.93,92.51,51.49,54.76,47.13,67.69,64.76,69.38,47.61,99.80,91.34,72.44,90.68,85.43,98.73,84.30,94.16,63.83,59.75,46.40,83.78,83.82,5,5,4,5,3,6,5,6,3,6,7,9,6,7,5,7,7,7,6,4,5,6,
99.0684,1.47,0,1.66,0.049,432305,22,0,100.0,0.0,99.0,4.8,2,10,99.0683,99.0683,99.0684,99.0682,99.0683,99.0682,99.0683,99.0682,99.0684,99.0686,99.0684,99.0685,99.0684,99.0684,99.0683,99.0689,99.0683,99.0683,99.0684,99.0683,99.0683,99.0683,1.663,1.658,1.661,1.681,1.653,1.660,1.656,1.652,1.660,1.658,1.657,1.665,1.667,1.661,1.657,1.657,1.659,1.650,1.632,1.663,1.648,1.646,103886,92027,124975,32704,148097,343391,496442,59113,297338,214164,6260972,5262338,5331460,5266213,756835,522918,401136,17950,17482,21649,7874,20681,,,,,,,,,,,100.0,100.0,100.0,100.0,,,,,,,,,87.93,87.62,88.02,87.37,87.24,87.47,87.87,86.61,88.04,87.97,96.45,98.96,98.36,98.51,87.95,86.82,87.91,85.89,87.56,86.90,87.05,87.70,7,6,7,5,6,7,8,7,8,6,10,10,10,10,8,8,8,2,4,3,3,3,
