rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	2	0.998630631763159	-45.57837551042618	N/A	30.22336639532567	C28H45N7O6	[M + H]+	FGQVFEKPNYGHEX	InChI=1S/C28H45N7O6/c1-16(2)11-20(32-24(36)19(29)13-18-14-30-15-31-18)26(38)34-9-5-7-22(34)25(37)33-21(12-17(3)4)27(39)35-10-6-8-23(35)28(40)41/h14-17,19-23H,5-13,29H2,1-4H3,(H,30,31)(H,32,36)(H,33,37)(H,40,41)	null	CC(C)CC(C(=O)N1CCCC1C(=O)O)NC(=O)C2CCCN2C(=O)C(CC(C)C)NC(=O)C(CC3=CN=CN3)N	-1.0	16101422	PubChem:(16101422);PubMed	66	576.3491617838541	191.165	99_Ga_QC_Iter_99
2	1	1	8	0.9925322679375426	-0.4502675470691598	N/A	55.80171181521701	C14H18N2O4	[M + H]+	VNYDHJARLHNEGA	InChI=1S/C14H18N2O4/c15-11(8-9-3-5-10(17)6-4-9)13(18)16-7-1-2-12(16)14(19)20/h3-6,11-12,17H,1-2,7-8,15H2,(H,19,20)	D-Proline, D-tyrosyl-	C1CC(N(C1)C(=O)C(CC2=CC=C(C=C2)O)N)C(=O)O	0.441337854	7408393;9795637;13055260;11902950;20111643;44369315;61158795;71419915;103868722;103869093;103869597	COCONUT;HMDB:(29113);PubChem:(7408393 9795637 13055260 11902950 20111643 44369315 61158795 71419915 103868722 103869093 103869597);CHEBI:(141456);ZINC bio:(ZINC02560698 ZINC04899652);additional;PubChem class - bio and metabolites;MeSH:(9795637 13055260);Training Set;PubMed;KEGG Mine	8609357934	279.13402303059894	109.945	53_Ga_QC_Iter_53
3	1	1	2	0.9877657393009507	-0.47755508469783453	N/A	75.70135725495804	C9H11NO2	[M + H]+	COLNVLDHVKWLRT	InChI=1S/C9H11NO2/c10-8(9(11)12)6-7-4-2-1-3-5-7/h1-5,8H,6,10H2,(H,11,12)	Sabiden	C1=CC=C(C=C1)CC(C(=O)O)N	0.690450609	994;6140;71567;450580;450585;450605;2724448;3823098;5460949;5460950;5460952;5460953;5460957;5460958;10511283;10511284;10702212;6919011;6925665;12132826;12132829;9877477;10012270;9989619;13000972;13000974;13000976;13000978;13000981;13000983;13000986;13000987;13000992;13000995;13000997;13000999;10103511;10154215;11062753;10241165;11819436;10329658;10329702;10352075;10397170;11378724;10442063;20598859;16213431;16213432;16213459;16213565;16217565;16219910;23244601;25240041;25240491;25240783;25240991;25241052;25241066;25241070;25241360;25241565;24773270;53731873;53731875;53731876;53731877;53731878;57397115;56617616;56634323;59373178;66995391;66995546;66995580;66995721;71308946;71309396;87528067;87221210;87471585;88455641;90120010;91590842;102122880;101731663;102152000;102176479;100915787;101868632;102601151;102602169;102602342;117064739;119078553;119078554;119080919;118264378;124202794;129736625;131701211;134501265;131860346;131868860;134866153;138986901	HMDB:(159);PubChem class - food;SuperNatural:(SN00000169 SN00001028);ZINC bio:(ZINC00001927 ZINC00105196);additional;HSDB:(63-91-2);MeSH:(994 6140 6925665);Plantcyc:(CPD-216 PHE B-DMAN-HEX-1:5);PubMed;NORMAN:(NS00002612);COCONUT:(CNP0082854 CNP0082855 CNP0193965);KNApSAcK:(1386);Natural Products:(UNPD39371 UNPD26171);PubChem:(994 6140 71567 450580 450585 450605 2724448 3823098 5460949 5460950 5460952 5460953 5460957 5460958 10511283 10511284 10702212 6919011 6925665 12132826 12132829 9877477 10012270 9989619 13000972 13000974 13000976 13000978 13000981 13000983 13000986 13000987 13000992 13000995 13000997 13000999 10103511 10154215 11062753 10241165 11819436 10329658 10329702 10352075 10397170 11378724 10442063 20598859 16213431 16213432 16213459 16213565 16217565 16219910 23244601 25240041 25240491 25240783 25240991 25241052 25241066 25241070 25241360 25241565 24773270 53731873 53731875 53731876 53731877 53731878 57397115 56617616 56634323 59373178 66995391 66995546 66995580 66995721 71308946 71309396 87528067 87221210 87471585 88455641 90120010 91590842 102122880 101731663 102152000 102176479 100915787 101868632 102601151 102602169 102602342 117064739 119078553 119078554 119080919 118264378 124202794 129736625 131701211 134501265 131860346 131868860 134866153 138986901);CHEBI:(76052 17295 57981 32494 58095 32505 32487 32504 16998 32495 32486 28044);PubChem class - bio and metabolites;KEGG:(C00079 C02265 C02057);PubChem class - safety and toxic;YMDB:(304 995);Training Set;PubChem class - drug;Biocyc:(CPD-216 PHE SMA-0000294 SMA-0000352)	255847294	166.08699544270834	96.762	45_Ga_QC_Iter_45
4	1	1	3	0.9849688627857895	-28.798859847191956	N/A	51.94891066563137	C16H21N5O5	[M + H]+	ITYONPBTNRIEBA	InChI=1S/C16H21N5O5/c22-13-4-3-10(19-13)14(23)20-11(6-9-7-17-8-18-9)15(24)21-5-1-2-12(21)16(25)26/h7-8,10-12H,1-6H2,(H,17,18)(H,19,22)(H,20,23)(H,25,26)	TRH, free acid	C1CC(N(C1)C(=O)C(CC2=CN=CN2)NC(=O)C3CCC(=O)N3)C(=O)O	-0.858694434	4968;6427034;11902898;10428784;129359877;129362193;129425712;129425713	COCONUT:(CNP0217711);Natural Products:(UNPD105555);PubChem:(4968 6427034 11902898 10428784 129359877 129362193 129425712 129425713);additional;MeSH:(4968);Training Set;PubMed;KEGG Mine	8592605254	364.1632995605469	90.718	38_Ga_QC_Iter_38
5	1	1	2	0.9704918365087872	-25.915961603754305	N/A	30.08099665023792	C31H53N7O8	[M + H]+	KSIHMACFIAFKIG	InChI=1S/C31H53N7O8/c1-16(2)15-20(35-28(42)24(33)17(3)4)29(43)37-13-7-10-22(37)27(41)36-25(18(5)6)30(44)38-14-8-9-21(38)26(40)34-19(31(45)46)11-12-23(32)39/h16-22,24-25H,7-15,33H2,1-6H3,(H2,32,39)(H,34,40)(H,35,42)(H,36,41)(H,45,46)	L-Glutamine, L-valyl-L-leucyl-L-prolyl-L-valyl-L-prolyl-	CC(C)CC(C(=O)N1CCCC1C(=O)NC(C(C)C)C(=O)N2CCCC2C(=O)NC(CCC(=O)N)C(=O)O)NC(=O)C(C(C)C)N	0.246077597	21778319;73838008;137628434	COCONUT:(CNP0193947);Training Set;PubChem:(21778319 73838008 137628434);additional	2637826	652.4040120442709	187.534	97_Ga_QC_Iter_97
6	1	1	1	0.9439596459796951	-85.8713978847909	N/A	81.50860337557631	C13H32N3P	[M + H]+	BDXYLQOPYIILHQ	InChI=1S/C13H33N3P/c1-8-12-13-17(14(5)9-2,15(6)10-3)16(7)11-4/h8-13H2,1-7H3/q+1	null	CCCC[P+](N(C)CC)(N(C)CC)N(C)CC	3.0	57552778	PubChem:(57552778)	2	262.23804728190106	223.85	124_Ga_QC_Iter_124
7	1	1	5	0.9389286159780309	-115.22822234450709	N/A	30.105108653790175	C32H46N6O9	[M + H]+	IGWBXKOQZXRBMR	InChI=1S/C32H46N6O9/c1-18(2)26(33)29(43)34-19(3)30(44)37-15-7-11-23(37)28(42)36-22(17-20-9-5-4-6-10-20)31(45)38-16-8-12-24(38)27(41)35-21(32(46)47)13-14-25(39)40/h4-6,9-10,18-19,21-24,26H,7-8,11-17,33H2,1-3H3,(H,34,43)(H,35,41)(H,36,42)(H,39,40)(H,46,47)	L-Glutamic acid, L-valyl-L-alanyl-L-prolyl-L-phenylalanyl-L-prolyl-	CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)N3CCCC3C(=O)NC(CCC(=O)O)C(=O)O)N	-1.60000002	16036488	PubChem:(16036488)	2	659.3406168619791	208.11	115_Ga_QC_Iter_115
8	1	1	5	0.9075836867023072	-45.56846767526084	N/A	45.818072202024794	C29H42N6O8	[M + H]+	PNRCORVXKCNAOX	InChI=1S/C29H42N6O8/c1-16(2)24(31)28(41)35-14-4-6-22(35)26(39)33-20(15-17-7-9-18(36)10-8-17)27(40)34-13-3-5-21(34)25(38)32-19(29(42)43)11-12-23(30)37/h7-10,16,19-22,24,36H,3-6,11-15,31H2,1-2H3,(H2,30,37)(H,32,38)(H,33,39)(H,42,43)	L-Glutamine, L-valyl-L-prolyl-L-tyrosyl-L-prolyl-	CC(C)C(C(=O)N1CCCC1C(=O)NC(CC2=CC=C(C=C2)O)C(=O)N3CCCC3C(=O)NC(CCC(=O)N)C(=O)O)N	-2.4000001	11585222	PubChem:(11585222)	2	603.3126220703125	156.077	76_Ga_QC_Iter_76
9	5	1	6	0.8968529337373509	-247.72862451498082	N/A	24.986216151840758	C43H89N2O10P	[M + H]+	COANMZBQNLWTNV	InChI=1S/C43H89N2O10P/c1-4-7-9-11-13-15-17-19-21-23-25-27-29-31-42(48)52-37-39(38-54-56(50,51)53-36-35-45-41(47)34-33-40(46)44-6-3)55-43(49)32-30-28-26-24-22-20-18-16-14-12-10-8-5-2/h39-40,42-44,46,48-49H,4-38H2,1-3H3,(H,45,47)(H,50,51)	2-[[(4R)-4-(ethylamino)-4-hydroxybutanoyl]amino]ethoxy-[(2R)-2-[(1S)-1-hydroxyhexadecoxy]-3-[(1R)-1-hydroxyhexadecoxy]propoxy]phosphinic acid	CCCCCCCCCCCCCCCC(O)OCC(CO[P+](O)([O-])OCCNC(=O)CCC(NCC)O)OC(CCCCCCCCCCCCCCC)O	12.1999998	59064121	PubChem:(59064121)	2	825.629150390625	321.866	164_Ga_QC_Iter_164
10	1	1	4	0.7834779484705104	-116.46559200142313	N/A	24.733579836397947	C27H37N5O8	[M + H]+	JVIBCQYJZKRBPW	InChI=1S/C27H37N5O8/c1-16(28)25(37)31-13-5-9-20(31)24(36)30-19(15-17-7-3-2-4-8-17)26(38)32-14-6-10-21(32)23(35)29-18(27(39)40)11-12-22(33)34/h2-4,7-8,16,18-21H,5-6,9-15,28H2,1H3,(H,29,35)(H,30,36)(H,33,34)(H,39,40)	(2S)-2-[[(2S)-1-[(2S)-2-[[(2S)-1-[(2S)-2-aminopropanoyl]pyrrolidine-2-carbonyl]amino]-3-phenylpropanoyl]pyrrolidine-2-carbonyl]amino]pentanedioic acid	CC(C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)N3CCCC3C(=O)NC(CCC(=O)O)C(=O)O)N	-2.29999995	11497747;17762638	PubChem:(11497747 17762638)	2	560.2715454101562	181.48	93_Ga_QC_Iter_93
